"NYC_extract.DBA","NYC_extract.TripAdvisor.URL","NYC_extract.INSPECTION.DATE","NYC_extract.VIOLATION.DESCRIPTION","NYC_extract.SCORE","NYC_extract.GRADE","NYC_initial.Latitude","NYC_initial.Longitude","NYC_list_URL_final$NYC_extract.DBA"
"48610","LUNETTA PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d5012906-Reviews-Lunetta_Pizza-New_York_City_New_York.html","10/04/2018","Hot food item not held at or above 140Âº F.",13,"A",40.754070591808,-73.979935358214,"LUNETTA PIZZA"
"59748","HARD ROCK CAFE","https://www.tripadvisor.com/Restaurant_Review-g60763-d802686-Reviews-Hard_Rock_Cafe-New_York_City_New_York.html","09/18/2018","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12,"A",40.7570962405,-73.986193424352,"HARD ROCK CAFE"
"61013","99 CENTS PIZZA & FRIES","https://www.tripadvisor.com/Restaurant_Review-g60763-d1450822-Reviews-Keste_Pizza_Vino-New_York_City_New_York.html","01/08/2018","Accurate thermometer not provided in refrigerated or hot holding equipment.",2,"",40.746150736646,-73.992742367502,"99 CENTS PIZZA & FRIES"
"61523","BARILLA RESTAURANTS","https://www.tripadvisor.com/Restaurant_Review-g60763-d5617483-Reviews-Casa_Barilla-New_York_City_New_York.html","08/03/2018","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",13,"A",40.760850108553,-73.979716722068,"BARILLA RESTAURANTS"
"81636","CIAO BELLA","https://www.tripadvisor.com/Restaurant_Review-g60763-d3617715-Reviews-Ciao_Bella-New_York_City_New_York.html","11/01/2019","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",13,"A",40.715618084742,-74.005100732547,"CIAO BELLA"
"81713","DEL FRISCO'S STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d457151-Reviews-Del_Frisco_s_Double_Eagle_Steakhouse-New_York_City_New_York.html","11/01/2019","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",13,"A",40.706617674089,-74.009875468765,"DEL FRISCO'S STEAKHOUSE"
"81742","OLGA'S PIZZA","couldnt find - repeated","11/01/2019","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",19,"",40.754660115073,-73.976755272267,"OLGA'S PIZZA"
"82158","FAMOUS JOE'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4091023-Reviews-Joe_s_Pizza-New_York_City_New_York.html","11/01/2019","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12,"A",40.791853227041,-73.971978728216,"FAMOUS JOE'S PIZZA"
"82230","THE GROTTO","https://www.tripadvisor.com/Restaurant_Review-g60763-d533381-Reviews-Grotto_Pizzeria_and_Restaurant-New_York_City_New_York.html","01/02/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10,"A",40.750753089864,-73.986108122854,"THE GROTTO"
"82247","ROSELLA'S PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d3734891-Reviews-Rosella_s_Pizzeria-New_York_City_New_York.html","01/02/2019","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",12,"A",40.762687265522,-73.985798785463,"ROSELLA'S PIZZERIA"
"82276","UNCLE MARIO'S","https://www.tripadvisor.com/Restaurant_Review-g60763-d2397371-Reviews-Uncle_Mario_s-New_York_City_New_York.html","01/02/2019","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",33,"C",40.763669458261,-73.982665164748,"UNCLE MARIO'S"
"82360","F & M 99 CENTS PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4558437-Reviews-F_F_99_Cent_Slice_Pizza-New_York_City_New_York.html","01/02/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",3,"A",40.811085101951,-73.953333702737,"F & M 99 CENTS PIZZA"
"82616","P & M CLASSIC PIZZA & RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g60763-d4659212-Reviews-P_M_Pizza_Restaurant-New_York_City_New_York.html","04/02/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",9,"A",40.742000851027,-73.997181573069,"P & M CLASSIC PIZZA & RESTAURANT"
"82736","FAMOUS ORIGINAL RAY'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d3716955-Reviews-Famous_Original_Ray_s_Pizza-New_York_City_New_York.html","04/02/2019","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",27,"",40.777161524498,-73.957271517721,"FAMOUS ORIGINAL RAY'S PIZZA"
"82933","FRESCOS PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d15166627-Reviews-Fresco_s_Pizzeria-New_York_City_New_York.html","04/02/2019","Hot food item not held at or above 140Âº F.",17,"",40.750509164767,-73.989479170444,"FRESCOS PIZZERIA"
"83196","PIZZA STOP","couldnt find - repeated","04/02/2019","Food Protection Certificate not held by supervisor of food operations.",25,"",40.708939570827,-74.01176945996,"PIZZA STOP"
"83240","DOMINO'S","couldnt find - repeated","04/02/2019","Food Protection Certificate not held by supervisor of food operations.",17,"B",40.730081480586,-73.980606498425,"DOMINO'S"
"83325","HELL'S KITCHEN PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d19667398-Reviews-Hell_s_Kitchen_Pizza-New_York_City_New_York.html","05/02/2019","Hot food item not held at or above 140Âº F.",12,"A",40.714639696184,-73.982310025479,"HELL'S KITCHEN PIZZA"
"83330","FIORE'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d8319243-Reviews-Fiore_s_Pizza-New_York_City_New_York.html","05/02/2019","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",16,"",40.753321377383,-73.980545566087,"FIORE'S PIZZA"
"83336","BAKER'S PIZZA + ESPRESSO","https://www.tripadvisor.com/Restaurant_Review-g60763-d21280402-Reviews-Baker_s_Pizza-New_York_City_New_York.html","05/02/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",8,"",40.761822569531,-73.985033688823,"BAKER'S PIZZA + ESPRESSO"
"83573","EDDIE'S NY DELI & PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d21044649-Reviews-Eddie_s_NY_Deli_Pizza-New_York_City_New_York.html","05/02/2019","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",7,"A",40.850541202932,-73.937054432565,"EDDIE'S NY DELI & PIZZA"
"83604","OATH PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d15272988-Reviews-Oath_Pizza-New_York_City_New_York.html","05/02/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",3,"A",40.798225819632,-73.969184113056,"OATH PIZZA"
"83702","IPIZZANY/KRISPY KRUNCHY CHICKEN","https://www.tripadvisor.com/Restaurant_Review-g60763-d7184372-Reviews-IPizzaNY-New_York_City_New_York.html","05/02/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",4,"C",40.789210236622,-73.948726617051,"IPIZZANY/KRISPY KRUNCHY CHICKEN"
"83825","EMPIRE STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d6001501-Reviews-Empire_Steak_House-New_York_City_New_York.html","07/02/2019","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",18,"",40.721532503047,-73.987604187829,"EMPIRE STEAKHOUSE"
"83845","IL FORNO/IRON BAR","https://www.tripadvisor.com/Restaurant_Review-g60763-d4810308-Reviews-Il_Forno-New_York_City_New_York.html","07/02/2019","Thawing procedures improper.",22,"",40.783557156555,-73.978008996048,"IL FORNO/IRON BAR"
"83937","LITTLE ITALY PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d1192486-Reviews-Little_Italy_Gourmet_Pizza-New_York_City_New_York.html","07/02/2019","Food contact surface not properly maintained.",13,"A",40.727746426494,-73.985647509709,"LITTLE ITALY PIZZA"
"84011","FAMOUS FAMIGLIA PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d5494562-Reviews-Famous_Famiglia-New_York_City_New_York.html","07/02/2019","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",20,"",40.769286008743,-73.988956320252,"FAMOUS FAMIGLIA PIZZERIA"
"84533","PEPERINO","https://www.tripadvisor.com/Restaurant_Review-g60763-d18338003-Reviews-Peperino_NYC_Pizza-New_York_City_New_York.html","08/02/2019","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",7,"A",40.798988188905,-73.966778271479,"PEPERINO"
"84679","BENJAMIN STEAK HOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d655719-Reviews-Benjamin_Steakhouse-New_York_City_New_York.html","08/02/2019","Hot food item not held at or above 140Âº F.",29,"",0,0,"BENJAMIN STEAK HOUSE"
"84880","MOTORINO PIZZERIA NAPOLETANA","https://www.tripadvisor.com/Restaurant_Review-g60763-d1563785-Reviews-Motorino-New_York_City_New_York.html","10/02/2019","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",25,"B",40.791853227041,-73.971978728216,"MOTORINO PIZZERIA NAPOLETANA"
"84967","SACCO PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d459335-Reviews-Sacco_Pizza-New_York_City_New_York.html","10/02/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11,"A",40.77857081743,-73.953389073791,"SACCO PIZZA"
"85153","EXCLUSIVE PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4727320-Reviews-Exclusive_Pizza-New_York_City_New_York.html","01/03/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",33,"",40.715618084742,-74.005100732547,"EXCLUSIVE PIZZA"
"85176","UNO CHICAGO GRILL","https://www.tripadvisor.com/Restaurant_Review-g60763-d502548-Reviews-Uno_Pizzeria_Grill-New_York_City_New_York.html","01/03/2019","Proper sanitization not provided for utensil ware washing operation.",66,"",40.754660115073,-73.976755272267,"UNO CHICAGO GRILL"
"85243","OTTO ENOTECA PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d502705-Reviews-OTTO_Enoteca_e_Pizzera-New_York_City_New_York.html","01/03/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",38,"",40.762524662582,-73.95982950357,"OTTO ENOTECA PIZZERIA"
"85377","MUZZARELLA PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d426052-Reviews-Muzzarella_Pizza-New_York_City_New_York.html","01/03/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",20,"",40.727374956791,-73.979542944959,"MUZZARELLA PIZZA"
"85396","2 BROS PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d2477766-Reviews-2_Bros_Pizza-New_York_City_New_York.html","01/03/2019","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",12,"A",40.751173988368,-73.975406637538,"2 BROS PIZZA"
"86518","FAMOUS AMADEUS PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d2357926-Reviews-Famous_Amadeus_Pizza-New_York_City_New_York.html","04/03/2019","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",25,"",40.738295320784,-74.005557151291,"FAMOUS AMADEUS PIZZA"
"86651","CROCODILE LOUNGE","https://www.tripadvisor.com/Attraction_Review-g60763-d5838240-Reviews-Crocodile_Lounge-New_York_City_New_York.html","04/03/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",22,"",40.764513543649,-73.975528041654,"CROCODILE LOUNGE"
"87229","LITTLE ROMA PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d18830614-Reviews-Little_Roma_Pizza-New_York_City_New_York.html","04/03/2019","Hot food item not held at or above 140Âº F.",9,"A",40.746150736646,-73.992742367502,"LITTLE ROMA PIZZA"
"87360","JUSTINO'S PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d17713080-Reviews-Justino_s_Pizzeria-New_York_City_New_York.html","05/03/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",12,"A",40.767403084871,-73.955090067787,"JUSTINO'S PIZZERIA"
"87368","MARINARA","https://www.tripadvisor.com/Restaurant_Review-g60763-d16810574-Reviews-Marinara_Pizza-New_York_City_New_York.html","05/03/2019","Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65Âº F or above within 2 hours.",10,"A",40.722927389298,-73.994638951146,"MARINARA"
"87524","SAMMY'S STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d457826-Reviews-Sammy_s_Roumanian_Steakhouse-New_York_City_New_York.html","05/03/2019","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",13,"A",40.783054181605,-73.974683454831,"SAMMY'S STEAKHOUSE"
"87583","FRANKIE & JOHNNIE'S STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d1150398-Reviews-Frankie_Johnnie_s_Steakhouse-New_York_City_New_York.html","06/03/2019","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",15,"",40.734334591832,-73.993772031951,"FRANKIE & JOHNNIE'S STEAKHOUSE"
"87589","SAUCE PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d13796659-Reviews-Sauce_Pizzeria-New_York_City_New_York.html","06/03/2019","Single service item reused, improperly stored, dispensed; not used when required.",10,"A",40.780147669306,-73.950102122087,"SAUCE PIZZERIA"
"87744","TENDER","https://www.tripadvisor.com/Restaurant_Review-g60763-d6764492-Reviews-Tender_Restaurant-New_York_City_New_York.html","06/03/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",13,"A",40.719454388342,-73.984888116429,"TENDER"
"87890","ADORO LEI","https://www.tripadvisor.com/Restaurant_Review-g60763-d7616205-Reviews-Adoro_Lei-New_York_City_New_York.html","06/03/2019","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",4,"A",40.764324766383,-73.958543269375,"ADORO LEI"
"88238","Radio City Pizza","https://www.tripadvisor.com/Restaurant_Review-g60763-d8403526-Reviews-Radio_City_Pizza-New_York_City_New_York.html","07/03/2019","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",31,"",40.826181138128,-73.94689496976,"Radio City Pizza"
"88261","LITTLE ITALY PIZZA/PAPAYA DOG","https://www.tripadvisor.com/Restaurant_Review-g60763-d4874790-Reviews-Little_Italy_Pizza-New_York_City_New_York.html","07/03/2019","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",12,"A",40.783345840254,-73.978164338717,"LITTLE ITALY PIZZA/PAPAYA DOG"
"88287","PIZZETTERIA BRUNETTI","https://www.tripadvisor.com/Restaurant_Review-g60763-d4997869-Reviews-Brunetti_Pizza-New_York_City_New_York.html","07/03/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",45,"",40.786116811162,-73.972450600195,"PIZZETTERIA BRUNETTI"
"88314","SABA'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d10531793-Reviews-Saba_s_Pizza-New_York_City_New_York.html","07/03/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",9,"",40.851030689063,-73.938763711348,"SABA'S PIZZA"
"88447","MADISON ST PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d19444824-Reviews-Madison_Street_Pizza-New_York_City_New_York.html","07/03/2019","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",7,"A",40.750829719358,-73.984368462078,"MADISON ST PIZZA"
"89247","FARINELLA","https://www.tripadvisor.com/Restaurant_Review-g60763-d3733387-Reviews-Farinella_Italian_Bakery_Pizza-New_York_City_New_York.html","09/03/2019","Hot food item not held at or above 140Âº F.",8,"A",40.764256886043,-73.982997126841,"FARINELLA"
"89339","STROMBOLI PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d459068-Reviews-Stromboli_Pizza_INC-New_York_City_New_York.html","10/03/2019","Hot food item not held at or above 140Âº F.",27,"",40.721532503047,-73.987604187829,"STROMBOLI PIZZA"
"89447","LA VERA PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d12192135-Reviews-La_Vera_Pizzeria-New_York_City_New_York.html","10/03/2019","Wiping cloths soiled or not stored in sanitizing solution.",24,"",40.782078262096,-73.98095960951,"LA VERA PIZZA"
"89537","PERFECTO PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d12192135-Reviews-La_Vera_Pizzeria-New_York_City_New_York.html","10/03/2019","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",13,"A",40.735946773195,-73.979071209521,"PERFECTO PIZZERIA"
"89541","VEZZO","https://www.tripadvisor.com/Restaurant_Review-g60763-d865182-Reviews-Vezzo-New_York_City_New_York.html","10/03/2019","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",12,"A",40.722358114106,-73.983177418179,"VEZZO"
"89613","BELMORA PIZZA & RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g60763-d11964987-Reviews-Belmora_Pizza-New_York_City_New_York.html","10/03/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",32,"",40.760367337647,-73.981532569014,"BELMORA PIZZA & RESTAURANT"
"89728","RIVOLI PIZZA II","https://www.tripadvisor.com/Restaurant_Review-g60763-d5593229-Reviews-Rivoli_Pizza_II-New_York_City_New_York.html","10/03/2019","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",9,"",40.709622417413,-74.016624578288,"RIVOLI PIZZA II"
"90462","PIZZA HAVEN","https://www.tripadvisor.com/Restaurant_Review-g60763-d4966743-Reviews-Pizza_Haven-New_York_City_New_York.html","12/03/2019","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",30,"C",40.747253147283,-73.983315468644,"PIZZA HAVEN"
"90528","CASSIANO'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d11984969-Reviews-Cassiano_s_Pizza-New_York_City_New_York.html","12/03/2019","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",9,"A",40.731298857017,-74.006671486843,"CASSIANO'S PIZZA"
"90756","ELEVEN B","https://www.tripadvisor.com/Restaurant_Review-g60763-d3569505-Reviews-Eleven_B-New_York_City_New_York.html","12/03/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",17,"B",40.735946773195,-73.979071209521,"ELEVEN B"
"91239","JOE'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4091023-Reviews-Joe_s_Pizza-New_York_City_New_York.html","01/04/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2,"A",40.701687901075,-74.011631125861,"JOE'S PIZZA"
"91476","CHAMPION PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d12859054-Reviews-Champion_Pizza-New_York_City_New_York.html","02/04/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",4,"A",40.758160479512,-73.968574646384,"CHAMPION PIZZA"
"91659","GRUPPO","https://www.tripadvisor.com/Restaurant_Review-g60763-d425818-Reviews-Gruppo-New_York_City_New_York.html","02/04/2019","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",6,"A",40.826114210882,-73.950689010698,"GRUPPO"
"92142","RUTH'S CHRIS STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d477513-Reviews-Ruth_s_Chris_Steak_House-New_York_City_New_York.html","03/04/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",5,"P",40.719454388342,-73.984888116429,"RUTH'S CHRIS STEAKHOUSE"
"92191","TUDOR CITY STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d12945460-Reviews-Tudor_City_Steakhouse-New_York_City_New_York.html","04/04/2019","Food contact surface not properly maintained.",11,"A",40.810184687204,-73.952994765917,"TUDOR CITY STEAKHOUSE"
"92245","LA BELLEZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d3736845-Reviews-La_Bellezza-New_York_City_New_York.html","04/04/2019","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",7,"A",40.720665468408,-74.009062244899,"LA BELLEZZA"
"92357","PROVA PIZZA BAR","https://www.tripadvisor.com/Restaurant_Review-g60763-d11827944-Reviews-Prova_Pizzabar-New_York_City_New_York.html","04/04/2019","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",9,"",40.775463208878,-73.952062570474,"PROVA PIZZA BAR"
"92368","TRENTA TRE PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d15617788-Reviews-Trenta_Tre_Pizzeria-New_York_City_New_York.html","04/04/2019","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",30,"",40.754147766106,-73.969034940786,"TRENTA TRE PIZZERIA"
"92996","DREAMERS PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4813243-Reviews-Dreamer_s_Pizza-New_York_City_New_York.html#REVIEWS","04/04/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",7,"A",40.730081480586,-73.980606498425,"DREAMERS PIZZA"
"93402","BOBBY VAN'S STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d1109605-Reviews-Bobby_Van_s_Steakhouse_Grill-New_York_City_New_York.html","06/04/2019","Live roaches present in facility's food and/or non-food areas.",22,"B",40.801550039329,-73.961214535078,"BOBBY VAN'S STEAKHOUSE"
